1.512427003889094749e+03 2.404147750000000000e+06 2.421163108496718109e+06 1.550531494140625000e+03
1.512438485969458952e+03 2.357656756322581321e+06 2.421144614412866067e+06 1.535458183066032007e+03
1.512449966331957285e+03 2.324971315066029783e+06 2.421126123095965013e+06 1.524783645435022436e+03
1.512461444977256406e+03 2.328296851260032505e+06 2.421107634544941131e+06 1.525872812274597663e+03
1.512472921906024567e+03 2.363856448989789467e+06 2.421089148758718278e+06 1.537475803027081611e+03
1.512484397118928655e+03 2.400602880249982234e+06 2.421070665736222640e+06 1.549384356496655300e+03
1.512495870616637603e+03 2.419198231056778226e+06 2.421052185476376209e+06 1.555376811045290651e+03
1.512507342399817162e+03 2.422760124817481264e+06 2.421033707978106569e+06 1.556521800181233175e+03
1.512518812469135582e+03 2.421125394447565544e+06 2.421015233240338042e+06 1.555996599019768837e+03
1.512530280825259979e+03 2.419113749201646075e+06 2.420996761261995882e+06 1.555350037608302500e+03
1.512541747468856784e+03 2.416618166905085556e+06 2.420978292042006273e+06 1.554547547519656518e+03
1.512553212400593566e+03 2.414416257225141395e+06 2.420959825579294469e+06 1.553839173923009412e+03
1.512564675621136303e+03 2.413915654949309304e+06 2.420941361872787122e+06 1.553678091408746923e+03
1.512576137131153018e+03 2.413720735602062196e+06 2.420922900921409018e+06 1.553615394814067713e+03
1.512587596931307871e+03 2.410828408251811285e+06 2.420904442724090070e+06 1.552684099462048835e+03
1.512599055022269567e+03 2.401119287136192899e+06 2.420885987279753201e+06 1.549553559148674140e+03
1.512610511404702720e+03 2.381010012585644145e+06 2.420867534587328322e+06 1.543049481434786458e+03
1.512621966079273989e+03 2.356431478933754377e+06 2.420849084645740688e+06 1.535065104400939163e+03
1.512633419046649806e+03 2.344448004536030348e+06 2.420830637453917414e+06 1.531158901485847309e+03
1.512644870307495239e+03 2.355714701210650150e+06 2.420812193010787945e+06 1.534831735855186253e+03
1.512656319862476039e+03 2.380724398077733815e+06 2.420793751315278932e+06 1.542956646610002736e+03
1.512667767712258410e+03 2.400486094535679091e+06 2.420775312366317492e+06 1.549349571686618447e+03
1.512679213857507420e+03 2.399369319655136205e+06 2.420756876162833069e+06 1.548988159238472235e+03
1.512690658298888593e+03 2.359112366513654590e+06 2.420738442703753244e+06 1.535917357473829725e+03
1.512702101037066768e+03 2.257025298536778428e+06 2.420720011988006998e+06 1.502250421239321895e+03
1.512713542072707696e+03 2.105290016010675114e+06 2.420701584014522377e+06 1.450837395402561924e+03
1.512724981406475536e+03 1.991871011449455982e+06 2.420683158782229293e+06 1.411309916323371681e+03
1.512736419039035127e+03 2.012169821180227911e+06 2.420664736290057190e+06 1.418459524256675877e+03
1.512747854971051538e+03 2.147899716808297671e+06 2.420646316536934581e+06 1.465436129817628853e+03
1.512759289203189610e+03 2.292817763977507129e+06 2.420627899521791376e+06 1.514135489623949525e+03
1.512770721736113046e+03 2.379303426810344681e+06 2.420609485243557487e+06 1.542485953238663797e+03
1.512782152570486460e+03 2.412570483214213513e+06 2.420591073701162823e+06 1.553244047657110286e+03
1.512793581706974237e+03 2.418953395002127625e+06 2.420572664893537294e+06 1.555298440464489886e+03
1.512805009146240309e+03 2.407371403399127070e+06 2.420554258819611743e+06 1.551567911190502628e+03
1.512816434888948379e+03 2.362435727876529563e+06 2.420535855478316545e+06 1.536998936473601361e+03
1.512827858935762379e+03 2.257665654313723091e+06 2.420517454868583009e+06 1.502463226737052537e+03
1.512839281287346012e+03 2.104453384723057970e+06 2.420499056989341974e+06 1.450542057372882027e+03
1.512850701944362754e+03 1.991801159210695652e+06 2.420480661839524750e+06 1.411288301905117123e+03
1.512862120907476083e+03 2.013041482230919180e+06 2.420462269418062177e+06 1.418758382949428551e+03
1.512873538177349019e+03 2.149023850894439965e+06 2.420443879723886959e+06 1.465823299403450392e+03
